song_id,beat_idx,time_s,chord_changed,gt_root,gt_label,A_beat_phase,A_beats_since_change,B_bass_changed,B_bass_onset,B_bass_is_root_or_fifth,C_bigram_logprob_atomic,C_bigram_logprob_mode,C_bigram_mode_delta,D_onset_density,D_chroma_cosine_dist,E_dist_to_segment_boundary,E_position_in_loop,E_detected_period,E_loop_phase
001,0,0.05533319499999998,False,-1,N,0,0,False,False,False,,,,0.0,0.0,0,0,16,0
001,1,0.7219981950000001,False,-1,N,1,1,False,False,False,,,,0.0,0.0,1,1,16,0
001,2,1.3886631950000003,False,-1,N,2,2,False,False,False,,,,0.0,0.0,2,2,16,0
001,3,2.0553281950000004,False,-1,N,3,3,False,True,False,,,,6.6264954,0.0,3,3,16,0
001,4,2.7219931950000005,False,11,B:maj,0,4,False,True,True,,,,26.413658,0.08961211986331319,4,4,16,0
001,5,3.3886581950000005,False,11,B:maj,1,5,False,True,True,,,,12.947245,0.3013485742616818,5,5,16,0
001,6,4.055323195000001,True,1,C#:maj,2,6,True,True,True,-0.859099210384681,-0.926312290335174,-0.06721307995049308,20.080036,0.8311258666301465,6,6,16,0
001,7,4.721988195000001,False,1,C#:maj,3,0,True,True,False,,,,7.485589,0.7704765326168004,6,7,16,0
001,8,5.388653195000001,True,10,Bb:min,0,1,False,True,True,-2.4377109584517256,-2.5736485737941237,-0.13593761534239812,31.178558,0.744946732604683,5,8,16,0
001,9,6.055318195000001,False,10,Bb:min,1,0,False,True,True,,,,8.363816,0.20890028197169752,4,9,16,0
001,10,6.721983195000001,True,3,Eb:min,2,1,True,True,False,-0.9208571923129222,-1.0375579076754873,-0.1167007153625651,22.982386,0.3995717954208271,3,10,16,0
001,11,7.388648195000001,False,3,Eb:min,3,0,True,True,False,,,,6.8348536,0.46324333914600724,2,11,16,0
001,12,8.055313195,True,11,B:maj,0,1,False,True,True,-1.4380810796914412,-1.4157461743009645,0.022334905390476667,31.0723,0.593342280213572,1,12,16,0
001,13,8.721978195,False,11,B:maj,1,0,False,True,True,,,,6.3801017,0.592295210673897,0,13,16,0
001,14,9.388643195,True,1,C#:maj,2,1,True,True,True,-0.859099210384681,-0.926312290335174,-0.06721307995049308,30.81845,0.16695613989453306,1,14,16,0
001,15,10.055308195,False,1,C#:maj,3,0,True,True,False,,,,1.0545022,0.4954594243457431,2,15,16,0
001,16,10.721973195,True,6,F#:maj,0,1,False,True,True,-0.9661406636092794,-0.8176497684451669,0.1484908951641125,24.36689,0.4893639635667637,3,0,16,0
001,17,11.388638195,False,6,F#:maj,1,0,False,True,True,,,,16.118862,0.13574080759561102,4,1,16,0
001,18,12.055303195,False,6,F#:maj,2,1,False,True,True,,,,16.128405,0.10267982584163338,5,2,16,0
001,19,12.721968195,False,6,F#:maj,3,2,False,True,True,,,,40.352165,0.030398961394511592,6,3,16,0
001,20,13.388633195,True,11,B:maj,0,3,False,True,True,-1.750466057370887,-1.7436990662663379,0.006766991104549147,45.92432,0.30766568363171887,7,4,16,0
001,21,14.055298195,True,6,F#:maj7/5,1,0,True,True,False,-1.8917359212556921,-1.6817276070709353,0.21000831418475685,26.617796,0.20148953388032975,8,5,16,0
001,22,14.721963195,True,1,C#:maj,2,0,True,True,True,-1.6680665256038203,-1.6175641059374994,0.05050241966632085,22.638256,0.33919773586005697,7,6,16,0
001,23,15.388628195,False,1,C#:maj,3,0,True,True,True,,,,26.108908,0.0589202491867834,6,7,16,0
001,24,16.055293195,True,10,Bb:min,0,1,True,True,True,-2.4377109584517256,-2.5736485737941237,-0.13593761534239812,38.719673,0.40788826445320203,5,8,16,0
001,25,16.721958195000003,True,10,Bb:sus4,1,0,False,True,True,-4.373375879174803,-4.408031706438308,-0.03465582726350469,38.9992,0.19667760367037623,4,9,16,0
001,26,17.388623195,True,3,Eb:min,2,0,True,True,False,-1.4378280112350734,-1.5297497518304009,-0.09192174059532743,20.883272,0.16644652624349487,3,10,16,0
001,27,18.055288195000003,False,3,Eb:min,3,0,False,True,False,,,,41.445114,0.014102515816083794,2,11,16,0
001,28,18.721953195,True,11,B:maj,0,1,False,True,True,-1.4380810796914412,-1.4157461743009645,0.022334905390476667,42.116196,0.30958988442944,1,12,16,0
001,29,19.388618195000003,True,6,F#:maj7/5,1,0,False,True,True,-1.8917359212556921,-1.6817276070709353,0.21000831418475685,30.44648,0.1360657505099011,0,13,16,0
001,30,20.055283195,True,1,C#:maj,2,0,True,True,True,-1.6680665256038203,-1.6175641059374994,0.05050241966632085,14.328985,0.5026465257915376,1,14,16,0
001,31,20.721948195000003,False,1,C#:maj,3,0,False,True,True,,,,28.981476,0.16603321986876673,2,15,16,0
001,32,21.388613195,True,6,F#:maj,0,1,True,True,True,-0.9661406636092794,-0.8176497684451669,0.1484908951641125,29.259995,0.21269387010717,3,0,16,0
001,33,22.055278195000003,False,6,F#:maj,1,0,False,True,True,,,,35.79113,0.03972296030160105,4,1,16,0
001,34,22.721943195,False,6,F#:maj,2,1,False,True,True,,,,31.493032,0.02004916505984511,5,2,16,0
001,35,23.388608195000003,False,6,F#:maj,3,2,False,True,True,,,,36.88855,0.02132586766656075,6,3,16,0
001,36,24.055273195,True,11,B:maj,0,3,True,True,True,-1.750466057370887,-1.7436990662663379,0.006766991104549147,37.110817,0.4967970496743951,6,4,16,0
001,37,24.721938195000003,False,11,B:maj,1,0,False,True,True,,,,8.158543,0.07184700016708345,5,5,16,0
001,38,25.388603195,True,1,C#:maj,2,1,True,True,True,-0.859099210384681,-0.926312290335174,-0.06721307995049308,27.10273,0.5507955435157661,4,6,16,0
001,39,26.055268195000004,False,1,C#:maj,3,0,True,True,True,,,,7.795347,0.25748178418275613,3,7,16,0
001,40,26.721933195000002,True,10,Bb:min,0,1,True,True,True,-2.4377109584517256,-2.5736485737941237,-0.13593761534239812,38.32692,0.6854048486434157,2,8,16,0
001,41,27.388598195000004,False,10,Bb:min,1,0,True,True,False,,,,11.355124,0.6440489613626079,1,9,16,0
001,42,28.055263195000002,True,3,Eb:min,2,1,True,True,True,-0.9208571923129222,-1.0375579076754873,-0.1167007153625651,37.258743,0.3547651817863299,0,10,16,0
001,43,28.721928195000004,False,3,Eb:min,3,0,False,True,True,,,,22.367336,0.11826974836804305,1,11,16,0
001,44,29.388593195000002,True,11,B:maj,0,1,True,True,True,-1.4380810796914412,-1.4157461743009645,0.022334905390476667,25.969296,0.42473909695643475,2,12,16,0
001,45,30.055258195000004,False,11,B:maj,1,0,False,True,True,,,,10.501476,0.050688032351730805,3,13,16,0
001,46,30.721923195000002,True,1,C#:maj,2,1,True,True,True,-0.859099210384681,-0.926312290335174,-0.06721307995049308,28.823019,0.5402032584649057,4,14,16,0
001,47,31.388588195000004,False,1,C#:maj,3,0,False,True,True,,,,14.507142,0.2512127482642096,5,15,16,0
001,48,32.055253195000006,True,6,F#:maj,0,1,True,True,True,-0.9661406636092794,-0.8176497684451669,0.1484908951641125,24.627361,0.523696583361143,6,0,16,0
001,49,32.721918195,False,6,F#:maj,1,0,False,True,True,,,,26.429693,0.014277760190690825,6,1,16,0
001,50,33.388583195,False,6,F#:maj,2,1,False,True,True,,,,36.64775,0.11156011965113788,5,2,16,0
001,51,34.055248195000004,False,6,F#:maj,3,2,False,True,True,,,,42.526352,0.08983396530423404,4,3,16,0
001,52,34.721913195000006,True,11,B:maj,0,3,True,True,True,-1.750466057370887,-1.7436990662663379,0.006766991104549147,24.06714,0.4831404010983632,3,4,16,0
001,53,35.388578195,False,11,B:maj,1,0,False,True,True,,,,15.9459,0.20322536186786277,2,5,16,0
001,54,36.055243195,True,1,C#:maj,2,1,True,True,True,-0.859099210384681,-0.926312290335174,-0.06721307995049308,21.75298,0.7401699042103922,1,6,16,0
001,55,36.721908195000005,False,1,C#:maj,3,0,False,True,True,,,,23.611565,0.11027509556591253,0,7,16,0
001,56,37.388573195000006,True,10,Bb:min,0,1,True,True,True,-2.4377109584517256,-2.5736485737941237,-0.13593761534239812,23.946978,0.7400707269575628,1,8,16,0
001,57,38.055238195,False,10,Bb:min,1,0,False,True,True,,,,19.211327,0.5199454095578575,2,9,16,0
001,58,38.721903195,True,3,Eb:min,2,1,True,True,False,-0.9208571923129222,-1.0375579076754873,-0.1167007153625651,33.792614,0.631640083044616,3,10,16,0
001,59,39.388568195000005,False,3,Eb:min,3,0,True,True,True,,,,16.251373,0.25123684096760435,4,11,16,0
001,60,40.05523319500001,True,11,B:maj,0,1,True,True,True,-1.4380810796914412,-1.4157461743009645,0.022334905390476667,23.189823,0.5716002289648923,5,12,16,0
001,61,40.721898195,False,11,B:maj,1,0,False,True,True,,,,16.913265,0.16534443402745058,6,13,16,0
001,62,41.388563195,True,1,C#:maj,2,1,True,True,True,-0.859099210384681,-0.926312290335174,-0.06721307995049308,19.92897,0.6409551572263121,7,14,16,0
001,63,42.055228195000005,False,1,C#:maj,3,0,False,True,True,,,,19.009968,0.36465300825133307,8,15,16,0
001,64,42.72189319500001,True,6,F#:maj,0,1,True,True,True,-0.9661406636092794,-0.8176497684451669,0.1484908951641125,27.588585,0.28563784623061617,9,0,16,0
001,65,43.388558195,False,6,F#:maj,1,0,False,True,True,,,,23.217537,0.023181981193223677,10,1,16,0
001,66,44.055223195,False,6,F#:maj,2,1,False,True,True,,,,25.612822,0.13414191759809813,11,2,16,0
001,67,44.721888195000005,False,6,F#:maj,3,2,False,True,True,,,,44.04238,0.041353842334959756,12,3,16,0
001,68,45.38855319500001,True,11,B:maj,0,3,True,True,True,-1.750466057370887,-1.7436990662663379,0.006766991104549147,35.15034,0.26872839127872095,13,4,16,0
001,69,46.055218195,True,6,F#:maj7/5,1,0,False,True,False,-1.8917359212556921,-1.6817276070709353,0.21000831418475685,40.453453,0.06475023055124085,14,5,16,0
001,70,46.721883195,True,1,C#:maj,2,0,False,True,False,-1.6680665256038203,-1.6175641059374994,0.05050241966632085,18.920734,0.32490870482310663,15,6,16,0
001,71,47.388548195,False,1,C#:maj,3,0,True,True,True,,,,23.360434,0.09509781040554721,16,7,16,0
001,72,48.055213195,True,10,Bb:min,0,1,True,True,True,-2.4377109584517256,-2.5736485737941237,-0.13593761534239812,27.736992,0.2702959071949427,17,8,16,0
001,73,48.721878195,True,10,Bb:sus4,1,0,False,True,True,-4.373375879174803,-4.408031706438308,-0.03465582726350469,37.90691,0.07970592865636572,18,9,16,0
001,74,49.388543195,True,3,Eb:min,2,0,True,True,False,-1.4378280112350734,-1.5297497518304009,-0.09192174059532743,31.258465,0.2970699225538468,19,10,16,0
001,75,50.055208195,False,3,Eb:min,3,0,False,True,False,,,,39.99685,0.018160332248223998,18,11,16,0
